Match_ID,Over_Number,Ball_Number,Runs_Batter,Runs_Extras,Runs_Total,Is_Wide,Is_NoBall,Byes,LegByes,Is_Wicket,Dismissal_Kind,Substitution_Event,Batting_Team_ID,Batter_ID,Bowler_ID,Player_Out_ID
1473500,6,1,1,0,1,0,0,0,0,0,,0,7,13,4,
1473500,6,2,1,0,1,0,0,0,0,0,,0,7,12,4,
1473500,6,3,6,0,6,0,0,0,0,0,,0,7,13,4,
1473500,6,4,1,0,1,0,0,0,0,0,,0,7,13,4,
1473500,6,5,0,0,0,0,0,0,0,0,,0,7,12,4,
1473500,6,6,0,0,0,0,0,0,0,0,,0,7,12,4,
1473500,7,1,1,0,1,0,0,0,0,0,,0,7,13,10,
1473500,7,2,1,0,1,0,0,0,0,0,,0,7,12,10,
1473500,7,3,1,0,1,0,0,0,0,0,,0,7,13,10,
1473500,7,4,6,0,6,0,0,0,0,0,,0,7,12,10,
1473500,7,5,4,0,4,0,0,0,0,0,,0,7,12,10,
1473500,7,6,4,0,4,0,0,0,0,0,,0,7,12,10,
1473500,8,1,1,0,1,0,0,0,0,0,,0,7,13,168,
1473500,8,2,0,0,0,0,0,0,0,0,,0,7,12,168,
1473500,8,3,1,0,1,0,0,0,0,0,,0,7,12,168,
1473500,8,4,0,0,0,0,0,0,0,0,,0,7,13,168,
1473500,8,5,0,0,0,0,0,0,0,0,,0,7,13,168,
1473500,8,6,1,0,1,0,0,0,0,0,,0,7,13,168,
1473500,9,1,6,0,6,0,0,0,0,0,,0,7,13,4,
1473500,9,2,1,0,1,0,0,0,0,0,,0,7,13,4,
1473500,9,3,1,0,1,0,0,0,0,0,,0,7,12,4,
1473500,9,4,0,0,0,0,0,0,0,0,,0,7,13,4,
1473500,9,5,1,0,1,0,0,0,0,0,,0,7,13,4,
1473500,9,6,1,0,1,0,0,0,0,0,,0,7,12,4,
1473500,10,1,1,0,1,0,0,0,0,0,,0,7,12,5,
1473500,10,2,1,0,1,0,0,0,0,0,,0,7,13,5,
1473500,10,3,6,0,6,0,0,0,0,0,,0,7,12,5,
1473500,10,4,0,0,0,0,0,0,0,0,,0,7,12,5,
1473500,10,5,6,0,6,0,0,0,0,0,,0,7,12,5,
1473500,10,6,1,0,1,0,0,0,0,0,,0,7,12,5,
1473500,11,1,2,0,2,0,0,0,0,0,,0,7,12,10,
1473500,11,2,1,0,1,0,0,0,0,0,,0,7,12,10,
1473500,11,3,0,0,0,0,0,0,0,0,,0,7,13,10,
1473500,11,4,1,0,1,0,0,0,0,0,,0,7,13,10,
1473500,11,5,0,1,1,0,1,0,0,0,,0,7,12,10,
1473500,11,6,6,0,6,0,0,0,0,0,,0,7,12,10,
1473500,11,7,0,0,0,0,0,0,0,0,,0,7,12,10,
1473500,12,1,4,0,4,0,0,0,0,0,,0,7,13,168,
1473500,12,2,1,0,1,0,0,0,0,0,,0,7,13,168,
1473500,12,3,1,0,1,0,0,0,0,0,,0,7,12,168,
1473500,12,4,1,0,1,0,0,0,0,0,,0,7,13,168,
1473500,12,5,0,1,1,1,0,0,0,0,,0,7,12,168,
1473500,12,6,1,0,1,0,0,0,0,0,,0,7,12,168,
1473500,12,7,4,0,4,0,0,0,0,0,,0,7,13,168,
1473500,13,1,1,0,1,0,0,0,0,0,,0,7,12,4,
1473500,13,2,0,0,0,0,0,0,0,1,caught,0,7,13,4,13.0
1473500,13,3,1,0,1,0,0,0,0,0,,0,7,14,4,
1473500,13,4,1,0,1,0,0,0,0,0,,0,7,12,4,
1473500,13,5,1,0,1,0,0,0,0,0,,0,7,14,4,
1473500,13,6,0,0,0,0,0,0,0,1,caught,0,7,12,4,12.0
1473500,14,1,1,0,1,0,0,0,0,0,,0,7,14,5,
1473500,14,2,0,0,0,0,0,0,0,0,,0,7,15,5,
1473500,14,3,0,0,0,0,0,0,0,0,,0,7,15,5,
1473500,14,4,6,0,6,0,0,0,0,0,,0,7,15,5,
1473500,14,5,4,0,4,0,0,0,0,0,,0,7,15,5,
1473500,14,6,1,0,1,0,0,0,0,0,,0,7,15,5,
1473500,15,1,2,0,2,0,0,0,0,0,,0,7,15,10,
1473500,15,2,4,0,4,0,0,0,0,0,,0,7,15,10,
1473500,15,3,1,0,1,0,0,0,0,0,,0,7,15,10,
1473500,15,4,0,1,1,1,0,0,0,0,,0,7,14,10,
1473500,15,5,0,0,0,0,0,0,0,1,bowled,0,7,14,10,14.0
1473500,15,6,0,5,5,1,0,0,0,0,,0,7,16,10,
1473500,15,7,0,0,0,0,0,0,0,0,,0,7,16,10,
1473500,15,8,1,0,1,0,0,0,0,0,,0,7,16,10,
1473500,16,1,1,0,1,0,0,0,0,0,,0,7,16,4,
1473500,16,2,0,0,0,0,0,0,0,0,,0,7,15,4,
1473500,16,3,6,0,6,0,0,0,0,0,,0,7,15,4,
1473500,16,4,1,0,1,0,0,0,0,0,,0,7,15,4,
1473500,16,5,4,0,4,0,0,0,0,0,,0,7,16,4,
1473500,16,6,6,0,6,0,0,0,0,0,,0,7,16,4,
1473500,17,1,6,0,6,0,0,0,0,0,,0,7,15,168,
1473485,0,1,4,0,4,0,0,0,0,0,,0,2,17,36,
1473485,0,2,0,0,0,0,0,0,0,0,,0,2,17,36,
1473485,0,3,0,0,0,0,0,0,0,0,,0,2,17,36,
1473485,0,4,0,0,0,0,0,0,0,0,,0,2,17,36,
1473485,0,5,0,0,0,0,0,0,0,0,,0,2,17,36,
1473485,0,6,4,0,4,0,0,0,0,0,,0,2,17,36,
1473485,1,1,6,0,6,0,0,0,0,0,,0,2,18,37,
1473485,1,2,0,1,1,1,0,0,0,0,,0,2,18,37,
1473485,1,3,2,0,2,0,0,0,0,0,,0,2,18,37,
1473485,1,4,4,0,4,0,0,0,0,0,,0,2,18,37,
1473485,1,5,0,1,1,1,0,0,0,0,,0,2,18,37,
1473485,1,6,6,0,6,0,0,0,0,0,,0,2,18,37,
1473485,1,7,1,0,1,0,0,0,0,0,,0,2,18,37,
1473485,1,8,4,0,4,0,0,0,0,0,,0,2,17,37,
1473485,2,1,1,0,1,0,0,0,0,0,,0,2,18,36,
1473485,2,2,4,0,4,0,0,0,0,0,,0,2,17,36,
1473485,2,3,0,0,0,0,0,0,0,0,,0,2,17,36,
1473485,2,4,4,0,4,0,0,0,0,0,,0,2,17,36,
1473485,2,5,6,0,6,0,0,0,0,0,,0,2,17,36,
1473485,2,6,0,0,0,0,0,0,0,1,caught,0,2,17,36,17.0
1473485,3,1,0,0,0,0,0,0,0,0,,0,2,18,169,
1473485,3,2,0,0,0,0,0,0,0,0,,0,2,18,169,
1473485,3,3,0,0,0,0,0,0,0,0,,0,2,18,169,
1473485,3,4,4,0,4,0,0,0,0,0,,0,2,18,169,
1473485,3,5,0,1,1,1,0,0,0,0,,0,2,18,169,
1473485,3,6,1,0,1,0,0,0,0,0,,0,2,18,169,
1473485,3,7,0,0,0,0,0,0,0,0,,0,2,19,169,
1473485,4,1,0,1,1,0,0,0,1,0,,0,2,18,36,
1473485,4,2,1,0,1,0,0,0,0,0,,0,2,19,36,
1473485,4,3,0,1,1,0,0,0,1,0,,0,2,18,36,
1473485,4,4,6,0,6,0,0,0,0,0,,0,2,19,36,
1473485,4,5,4,0,4,0,0,0,0,0,,0,2,19,36,
1473485,4,6,1,0,1,0,0,0,0,0,,0,2,19,36,
1473485,5,1,4,0,4,0,0,0,0,0,,0,2,19,169,
1473485,5,2,4,0,4,0,0,0,0,0,,0,2,19,169,
1473485,5,3,0,0,0,0,0,0,0,0,,0,2,19,169,
1473485,5,4,0,1,1,1,0,0,0,0,,0,2,19,169,
1473485,5,5,1,0,1,0,0,0,0,0,,0,2,19,169,
1473485,5,6,1,0,1,0,0,0,0,0,,0,2,18,169,
1473485,5,7,0,0,0,0,0,0,0,0,,0,2,19,169,
1473485,6,1,1,0,1,0,0,0,0,0,,0,2,18,34,
1473485,6,2,4,0,4,0,0,0,0,0,,0,2,19,34,
1473485,6,3,1,0,1,0,0,0,0,0,,0,2,19,34,
1473485,6,4,0,0,0,0,0,0,0,1,lbw,0,2,18,34,18.0
1473485,6,5,2,0,2,0,0,0,0,0,,0,2,20,34,
1473485,6,6,4,0,4,0,0,0,0,0,,0,2,20,34,
1473485,7,1,0,0,0,0,0,0,0,0,,0,2,19,32,
1473485,7,2,0,0,0,0,0,0,0,1,lbw,0,2,19,32,19.0
1473485,7,3,1,0,1,0,0,0,0,0,,0,2,21,32,
1473485,7,4,1,0,1,0,0,0,0,0,,0,2,20,32,
1473485,7,5,4,0,4,0,0,0,0,0,,0,2,21,32,
